Market,audience,Campaign,Clicks,Cost,Impressions,fees
IND,Children,Google,17,12.03,2059,13.2433
IND,Adults,Email,93,68.24,10044,75.6364
IND,Retention,Facebook,3,2.94,331,3.1534
CH,Oldies,YouTube,1140,62.27,1441,69.0097
CH,Children,Google,298,14.98,393,16.5178
CH,Adults,Email,189,12.12,231,13.3432
CH,Retention,YouTube,38,2.88,43,3.0868
CH,Oldies,Instagram,370,77.73,714,86.1703
CH,Children,Email,74,24.62,174,27.2182
CH,Adults,Email,112,36.02,192,39.8722
CH,Retention,Facebook,11,4.96,15,5.3956
CH,Oldies,Google,225,245.52,4422,272.4172
CH,Children,Email,48,41.1,970,45.511
CH,Adults,Facebook,53,116.6,606,129.316
CH,Retention,YouTube,4,16.11,31,17.7721
CH,Oldies,Google,947,852.09,120187,945.7099
CH,Children,Email,71,98.32,4738,109.0252
CH,Adults,Email,135,179.52,11806,199.1572
CH,Retention,Facebook,5,3.32,211,3.5752
AUS,Oldies,Google,4917,69.36,8267,76.8796
AUS,Children,Email,6809,263.08,9296,291.9088
AUS,Adults,Facebook,13400,291.72,17174,323.6992
AUS,Retention,YouTube,2819,62.16,3434,68.8876
AUS,Oldies,Google,1260,313.42,3988,347.7862
AUS,Children,Email,3446,1368.39,10644,1518.8029
AUS,Adults,Google,2281,711.71,6129,789.8881
AUS,Retention,Email,233,66.81,640,74.0491
AUS,Oldies,Email,271,138.63,7765,153.7693
AUS,Children,Facebook,3133,1483.85,49209,1646.9635
AUS,Adults,Google,789,603.4,13531,669.664
AUS,Retention,Email,167,184.05,2197,204.1855
AUS,Oldies,Facebook,12241,4069.16,1521502,4516.6576
AUS,Children,YouTube,840,55.66,6640,61.6726
AUS,Adults,YouTube,599,64.29,37801,71.2519
AUS,Retention,YouTube,4,1.09,24,1.0999
AUS,Oldies,Google,5166,2809.79,549253,3118.7569
AUS,Children,Email,482,403.6,28303,447.886
AUS,Adults,Email,3798,2793.5,294113,3100.675
AUS,Retention,Facebook,346,280.06,27365,310.7566
AUS,Oldies,Google,829,145.18,79194,161.0398
AUS,Adults,Email,404,71.17,26106,78.8887
AUS,Retention,Facebook,25,5.4,1482,5.884
RSA,Oldies,YouTube,235,7.59,348,8.3149
RSA,Children,Google,116,7.98,157,8.7478
RSA,Adults,Email,3,1.05,3,1.0555
RSA,Retention,Email,36,2.02,42,2.1322
RSA,Oldies,Facebook,49,8.21,176,9.0031
RSA,Children,Google,21,3.86,79,4.1746
RSA,Adults,Email,7,1.38,16,1.4218
RSA,Retention,Facebook,2,1.21,2,1.2331
RSA,Oldies,Facebook,464,282.29,50838,313.2319
RSA,Children,Google,50,31.94,3457,35.3434
RSA,Adults,Email,27,16.58,2143,18.2938
RSA,Retention,Facebook,6,6.21,677,6.7831
NZ,Oldies,Google,787,17.34,1073,19.1374
NZ,Children,Email,1075,43.17,1379,47.8087
NZ,Retention,Google,228,9.37,281,10.2907
NZ,Oldies,Email,349,65.82,881,72.9502
NZ,Children,Email,135,22.51,370,24.8761
NZ,Adults,Facebook,44,8.86,118,9.7246
NZ,Retention,Google,2,1.18,2,1.1998
NZ,Oldies,Email,181,68.97,3956,76.4467
NZ,Children,Facebook,311,151.52,5600,168.0772
NZ,Adults,YouTube,58,38.9,697,43.069
NZ,Retention,YouTube,26,33.04,180,36.5644
NZ,Oldies,YouTube,4200,1856.71,567822,2060.8381
NZ,Children,YouTube,227,149.88,12303,166.2568
NZ,Adults,Instagram,112,81.83,7456,90.7213
NZ,Retention,Instagram,18,13.7,1375,15.097
IND,Oldies,Instagram,1177,35.54,1811,39.3394
IND,Children,YouTube,571,20.08,829,22.1788
IND,Adults,YouTube,888,29.61,1307,32.7571
IND,Retention,Google,117,4.41,173,4.7851
IND,Oldies,Email,667,162.52,1778,180.2872
IND,Children,YouTube,442,113.26,1293,125.6086
IND,Adults,Instagram,332,87.51,667,97.0261
IND,Retention,YouTube,32,8.77,72,9.6247
IND,Oldies,Google,578,262.57,10954,291.3427
IND,Children,Email,790,257.26,13390,285.4486
IND,Oldies,YouTube,937,539.59,94940,598.8349
IND,Children,YouTube,26,32.66,1875,36.1426
IND,Adults,Google,60,41.4,9731,45.844
IND,Retention,Email,6,2.14,322,2.2654
CH,Oldies,YouTube,1046,77.48,1302,85.8928
CH,Children,Email,262,20.52,362,22.6672
CH,Adults,Facebook,227,18.27,262,20.1697
CH,Retention,YouTube,25,3.08,32,3.3088
CH,Oldies,Google,345,74.44,643,82.5184
CH,Children,Email,62,21.81,180,24.0991
CH,Adults,YouTube,118,30.17,191,33.3787
CH,Retention,Instagram,9,3.56,10,3.8416
CH,Oldies,Instagram,236,239.41,4462,265.6351
CH,Children,Instagram,58,48.81,1230,54.0691
CH,Adults,Instagram,60,131.73,566,146.1103
CH,Retention,Instagram,7,21.98,47,24.2878
CH,Oldies,Google,986,876.78,121946,973.1158
CH,Children,Email,82,108.47,5980,120.2917
