country,user,ordernum,orderstatus,date_ordered,channel
UK,9ff0b,001a6,finished,"2019-03-24 00:00:00",google
UK,b44c0,ed4aa,cancelled,"2019-05-09 00:00:00",google
UK,c2eb4,3f5ca,finished,"2018-12-17 00:00:00",google
UK,c2eb4,2e118,finished,"2018-12-18 00:00:00",direct
UK,c4e1c,24474,finished,"2018-11-27 00:00:00",direct
UK,e7bdc,b7e25,cancelled,"2019-03-19 00:00:00",direct
UK,0c4ee,6128d,finished,"2019-03-07 00:00:00",social
UK,0c4ee,71c64,finished,"2019-04-19 00:00:00",social
UK,0cd27,69a01,finished,"2019-03-11 00:00:00",direct
UK,15d9a,ecf7d,finished,"2019-05-16 00:00:00",social
UK,23185,3235f,finished,"2019-01-14 00:00:00",others
UK,23185,17748,finished,"2019-02-20 00:00:00",others
UK,24091,10e90,finished,"2019-02-12 00:00:00",direct
UK,2ed58,eda07,finished,"2019-05-12 00:00:00",google
UK,32629,a51fe,finished,"2019-03-23 00:00:00",direct
UK,4766d,aef36,finished,"2019-01-22 00:00:00",direct
UK,6ebc3,3f696,cancelled,"2019-04-15 00:00:00",google
UK,6ebc3,33e38,cancelled,"2019-04-15 00:00:00",social
UK,743d4,a26d6,cancelled,"2018-12-10 00:00:00",direct
UK,7615c,ec613,cancelled,"2019-04-06 00:00:00",others
UK,927f7,83fc5,finished,"2019-04-28 00:00:00",social
UK,9e8a1,2df5a,finished,"2019-04-26 00:00:00",social
UK,0dea6,8f377,finished,"2019-04-25 00:00:00",google
UK,304de,6316c,finished,"2019-01-06 00:00:00",others
UK,5a639,3423b,finished,"2019-05-07 00:00:00",social
UK,68a1c,1d348,finished,"2019-02-18 00:00:00",google
UK,883aa,602df,finished,"2019-03-31 00:00:00",social
UK,905bf,c05df,finished,"2019-05-16 00:00:00",social
UK,a397b,eb8d8,finished,"2019-04-26 00:00:00",social
UK,aaf52,c99d2,finished,"2019-03-26 00:00:00",social
UK,b8e2f,ab3d4,finished,"2018-11-23 00:00:00",direct
UK,cfa13,a26fe,finished,"2019-02-03 00:00:00",google
UK,d316c,a6b34,finished,"2019-01-21 00:00:00",others
USA,d75b9,72fb0,finished,"2019-03-26 00:00:00",direct
USA,d75b9,71547,finished,"2019-03-28 00:00:00",others
UK,e333e,5dacc,finished,"2019-03-05 00:00:00",social
UK,ef49b,d443c,finished,"2019-03-07 00:00:00",direct
UK,f1347,28a47,cancelled,"2019-01-21 00:00:00",google
UK,ffc7e,ce1c5,finished,"2019-03-27 00:00:00",google
UK,ffc7e,59520,finished,"2019-04-24 00:00:00",google
UK,15eda,f2bc4,cancelled,"2019-04-19 00:00:00",others
UK,17b79,4febf,finished,"2019-04-11 00:00:00",social
UK,438e9,d58b0,finished,"2019-04-19 00:00:00",direct
UK,9566f,04ebe,cancelled,"2019-02-10 00:00:00",direct
UK,9566f,5d576,cancelled,"2019-04-15 00:00:00",social
UK,b95bb,cb400,finished,"2019-05-14 00:00:00",direct
UK,baf04,92c7d,finished,"2019-04-26 00:00:00",google
UK,be0c8,7cbad,finished,"2019-05-13 00:00:00",social
UK,c58bf,4ce6b,cancelled,"2019-05-07 00:00:00",google
UK,d9f05,f966b,finished,"2019-02-15 00:00:00",direct
UK,047de,152b4,finished,"2019-01-21 00:00:00",google
UK,16e47,15824,finished,"2019-05-04 00:00:00",direct
UK,1a0bd,f9cbf,finished,"2019-04-23 00:00:00",social
